         117
    1      3      4      1      2   -0.2627094976E+01    
    2      4      5      1      2   -0.6633627272E+00    
    3      5      6      1      2   -0.2707894631E+00    
    4      6      7      1      2   -0.1427425794E+00    
    5      7      8      1      2   -0.8268580871E-01    
    6      8      9      1      2   -0.2635066153E-01    
    7      4      5      2      3   -0.2629878442E+01    
    8      5      6      2      3   -0.6691868786E+00    
    9      6      7      2      3   -0.2809792005E+00    
   10      7      8      2      3   -0.1450131465E+00    
   11      8      9      2      3   -0.4271786810E-01    
   12      9     10      2      3   -0.3274079989E-01    
   13      5      6      3      4   -0.2640643208E+01    
   14      6      7      3      4   -0.6886945815E+00    
   15      7      8      3      4   -0.2896213506E+00    
   16      8      9      3      4   -0.7638607244E-01    
   17      9     10      3      4   -0.4952779682E-01    
   18     10     11      3      4   -0.3759270689E-01    
   19      6      7      4      5   -0.2681578089E+01    
   20      7      8      4      5   -0.7174152482E+00    
   21      8      9      4      5   -0.1587052639E+00    
   22      9     10      4      5   -0.8022062006E-01    
   23     10     11      4      5   -0.5682544072E-01    
   24     11     12      4      5   -0.3831208624E-01    
   25      7      8      5      6   -0.2785380281E+01    
   26      8      9      5      6   -0.4260573070E+00    
   27      9     10      5      6   -0.1437477064E+00    
   28     10     11      5      6   -0.9086378039E-01    
   29     11     12      5      6   -0.5737697609E-01    
   30     12     13      5      6   -0.3793518184E-01    
   31      8      9      6      7   -0.1968136749E+01    
   32      9     10      6      7   -0.3113792938E+00    
   33     10     11      6      7   -0.1553279923E+00    
   34     11     12      6      7   -0.8848936470E-01    
   35     12     13      6      7   -0.5478251260E-01    
   36     13     14      6      7   -0.3611180834E-01    
   37      9     10      7      8   -0.1340127424E+01    
   38     10     11      7      8   -0.3025440836E+00    
   39     11     12      7      8   -0.1333484330E+00    
   40     12     13      7      8   -0.7270908886E-01    
   41     13     14      7      8   -0.4439326982E-01    
   42     14     15      7      8   -0.2917438238E-01    
   43     10     11      8      9   -0.2142596556E+01    
   44     11     12      8      9   -0.4802307133E+00    
   45     12     13      8      9   -0.1803165584E+00    
   46     13     14      8      9   -0.8663468377E-01    
   47     14     15      8      9   -0.4817346090E-01    
   48     15     16      8      9   -0.2948571240E-01    
   49     11     12      9     10   -0.2792638885E+01    
   50     12     13      9     10   -0.7276378187E+00    
   51     13     14      9     10   -0.2972212183E+00    
   52     14     15      9     10   -0.1502526369E+00    
   53     15     16      9     10   -0.8626047561E-01    
   54     16     17      9     10   -0.5391531847E-01    
   55     12     13     10     11   -0.2672083951E+01    
   56     13     14     10     11   -0.6847286652E+00    
   57     14     15     10     11   -0.2790782670E+00    
   58     15     16     10     11   -0.1416459297E+00    
   59     16     17     10     11   -0.8184978822E-01    
   60     17     18     10     11   -0.5153318853E-01    
   61     13     14     11     12   -0.2637628515E+01    
   62     14     15     11     12   -0.6673893721E+00    
   63     15     16     11     12   -0.2694837441E+00    
   64     16     17     11     12   -0.1359456412E+00    
   65     17     18     11     12   -0.7826740441E-01    
   66     18     19     11     12   -0.4917532815E-01    
   67     14     15     12     13   -0.2628510390E+01    
   68     15     16     12     13   -0.6620868199E+00    
   69     16     17     12     13   -0.2662115384E+00    
   70     17     18     12     13   -0.1338255793E+00    
   71     18     19     12     13   -0.7683666233E-01    
   72     19     20     12     13   -0.4817604966E-01    
   73     15     16     13     14   -0.2625491464E+01    
   74     16     17     13     14   -0.6601713756E+00    
   75     17     18     13     14   -0.2649423939E+00    
   76     18     19     13     14   -0.1329535652E+00    
   77     19     20     13     14   -0.7621908479E-01    
   78     20     21     13     14   -0.4772763974E-01    
   79     16     17     14     15   -0.2624311260E+01    
   80     17     18     14     15   -0.6593748714E+00    
   81     18     19     14     15   -0.2643872251E+00    
   82     19     20     14     15   -0.1325563499E+00    
   83     20     21     14     15   -0.7592905238E-01    
   84     21     22     14     15   -0.4751286587E-01    
   85     17     18     15     16   -0.2623789144E+01    
   86     18     19     15     16   -0.6590070350E+00    
   87     19     20     15     16   -0.2641225007E+00    
   88     20     21     15     16   -0.1323631649E+00    
   89     21     22     15     16   -0.7578743723E-01    
   90     22     23     15     16   -0.4741002936E-01    
   91     18     19     16     17   -0.2623537907E+01    
   92     19     20     16     17   -0.6588263686E+00    
   93     20     21     16     17   -0.2639921661E+00    
   94     21     22     16     17   -0.1322705054E+00    
   95     22     23     16     17   -0.7572469759E-01    
   96     23     24     16     17   -0.4737278664E-01    
   97     19     20     17     18   -0.2623413675E+01    
   98     20     21     17     18   -0.6587397208E+00    
   99     21     22     17     18   -0.2639353451E+00    
  100     22     23     17     18   -0.1322395030E+00    
  101     23     24     17     18   -0.7571840758E-01    
  102     24     25     17     18   -0.4739206661E-01    
  103     20     21     18     19   -0.2623360105E+01    
  104     21     22     18     19   -0.6587124467E+00    
  105     22     23     18     19   -0.2639338325E+00    
  106     23     24     18     19   -0.1322665485E+00    
  107     24     25     18     19   -0.7577976970E-01    
  108     21     22     19     20   -0.2623361213E+01    
  109     22     23     19     20   -0.6587438901E+00    
  110     23     24     19     20   -0.2640044512E+00    
  111     24     25     19     20   -0.1323913641E+00    
  112     22     23     20     21   -0.2623436567E+01    
  113     23     24     20     21   -0.6588813138E+00    
  114     24     25     20     21   -0.2642394163E+00    
  115     23     24     21     22   -0.2623690118E+01    
  116     24     25     21     22   -0.6593325260E+00    
  117     24     25     22     23   -0.2624627680E+01    
