         117
    1      3      4      1      2   -0.2650985395E+01  
    2      4      5      1      2   -0.6662010304E+00  
    3      5      6      1      2   -0.2715914244E+00  
    4      6      7      1      2   -0.1434977894E+00  
    5      7      8      1      2   -0.8595866315E-01  
    6      8      9      1      2   -0.2653625627E-01  
    7      4      5      2      3   -0.2647819156E+01  
    8      5      6      2      3   -0.6737865695E+00  
    9      6      7      2      3   -0.2832591280E+00  
   10      7      8      2      3   -0.1503582170E+00  
   11      8      9      2      3   -0.4326670304E-01  
   12      9     10      2      3   -0.3097261063E-01  
   13      5      6      3      4   -0.2677013451E+01  
   14      6      7      3      4   -0.6960632527E+00  
   15      7      8      3      4   -0.2981544035E+00  
   16      8      9      3      4   -0.7753999072E-01  
   17      9     10      3      4   -0.4692665892E-01  
   18     10     11      3      4   -0.3713793631E-01  
   19      6      7      4      5   -0.2729601725E+01  
   20      7      8      4      5   -0.7313587014E+00  
   21      8      9      4      5   -0.1612162341E+00  
   22      9     10      4      5   -0.7633301362E-01  
   23     10     11      4      5   -0.5622039255E-01  
   24     11     12      4      5   -0.3832329923E-01  
   25      7      8      5      6   -0.2778009775E+01  
   26      8      9      5      6   -0.4299846933E+00  
   27      9     10      5      6   -0.1380559775E+00  
   28     10     11      5      6   -0.9024906802E-01  
   29     11     12      5      6   -0.5763750898E-01  
   30     12     13      5      6   -0.3833031391E-01  
   31      8      9      6      7   -0.1944305388E+01  
   32      9     10      6      7   -0.3053370897E+00  
   33     10     11      6      7   -0.1560335523E+00  
   34     11     12      6      7   -0.8994043810E-01  
   35     12     13      6      7   -0.5604811579E-01  
   36     13     14      6      7   -0.3702967353E-01  
   37      9     10      7      8   -0.1302740935E+01  
   38     10     11      7      8   -0.3057283784E+00  
   39     11     12      7      8   -0.1386178570E+00  
   40     12     13      7      8   -0.7679589778E-01  
   41     13     14      7      8   -0.4728495437E-01  
   42     14     15      7      8   -0.3115727073E-01  
   43     10     11      8      9   -0.2114385658E+01  
   44     11     12      8      9   -0.4503738938E+00  
   45     12     13      8      9   -0.1659755577E+00  
   46     13     14      8      9   -0.7957250241E-01  
   47     14     15      8      9   -0.4413003252E-01  
   48     15     16      8      9   -0.2705528455E-01  
   49     11     12      9     10   -0.2932655315E+01  
   50     12     13      9     10   -0.7290546175E+00  
   51     13     14      9     10   -0.2960703454E+00  
   52     14     15      9     10   -0.1485373394E+00  
   53     15     16      9     10   -0.8504522139E-01  
   54     16     17      9     10   -0.5298230380E-01  
   55     12     13     10     11   -0.2673845931E+01  
   56     13     14     10     11   -0.6900706065E+00  
   57     14     15     10     11   -0.2806362303E+00  
   58     15     16     10     11   -0.1428375745E+00  
   59     16     17     10     11   -0.8256933010E-01  
   60     17     18     10     11   -0.5191385645E-01  
   61     13     14     11     12   -0.2683247303E+01  
   62     14     15     11     12   -0.6699721139E+00  
   63     15     16     11     12   -0.2717423456E+00  
   64     16     17     11     12   -0.1371657256E+00  
   65     17     18     11     12   -0.7886432345E-01  
   66     18     19     11     12   -0.4955761406E-01  
   67     14     15     12     13   -0.2565673087E+01  
   68     15     16     12     13   -0.6611502880E+00  
   69     16     17     12     13   -0.2669141348E+00  
   70     17     18     12     13   -0.1341214987E+00  
   71     18     19     12     13   -0.7712566484E-01  
   72     19     20     12     13   -0.4842813034E-01  
   73     15     16     13     14   -0.2597823564E+01  
   74     16     17     13     14   -0.6602837782E+00  
   75     17     18     13     14   -0.2649586425E+00  
   76     18     19     13     14   -0.1333462030E+00  
   77     19     20     13     14   -0.7659883543E-01  
   78     20     21     13     14   -0.4799662634E-01  
   79     16     17     14     15   -0.2616863120E+01  
   80     17     18     14     15   -0.6567421273E+00  
   81     18     19     14     15   -0.2649698760E+00  
   82     19     20     14     15   -0.1332101039E+00  
   83     20     21     14     15   -0.7636607046E-01  
   84     21     22     14     15   -0.4763223576E-01  
   85     17     18     15     16   -0.2588637650E+01  
   86     18     19     15     16   -0.6616699719E+00  
   87     19     20     15     16   -0.2657720253E+00  
   88     20     21     15     16   -0.1332158358E+00  
   89     21     22     15     16   -0.7597634770E-01  
   90     22     23     15     16   -0.4773571562E-01  
   91     18     19     16     17   -0.2617019942E+01  
   92     19     20     16     17   -0.6608852305E+00  
   93     20     21     16     17   -0.2651982836E+00  
   94     21     22     16     17   -0.1323282838E+00  
   95     22     23     16     17   -0.7621159605E-01  
   96     23     24     16     17   -0.4773428051E-01  
   97     19     20     17     18   -0.2555097968E+01  
   98     20     21     17     18   -0.6568900047E+00  
   99     21     22     17     18   -0.2628825155E+00  
  100     22     23     17     18   -0.1329521809E+00  
  101     23     24     17     18   -0.7625490616E-01  
  102     24     25     17     18   -0.4759289095E-01  
  103     20     21     18     19   -0.2589599404E+01  
  104     21     22     18     19   -0.6528327411E+00  
  105     22     23     18     19   -0.2656323083E+00  
  106     23     24     18     19   -0.1333154115E+00  
  107     24     25     18     19   -0.7614157924E-01  
  108     21     22     19     20   -0.2554022912E+01  
  109     22     23     19     20   -0.6631320026E+00  
  110     23     24     19     20   -0.2659540318E+00  
  111     24     25     19     20   -0.1328895525E+00  
  112     22     23     20     21   -0.2636977355E+01  
  113     23     24     20     21   -0.6588854410E+00  
  114     24     25     20     21   -0.2637256558E+00  
  115     23     24     21     22   -0.2676623049E+01  
  116     24     25     21     22   -0.6627697226E+00  
  117     24     25     22     23   -0.2658650516E+01  
