          92
    1      2      3      1      4    0.7908266400E+01       
    2      3      4      2      5    0.7900838563E+01       
    3      4      5      3      6    0.7867382163E+01       
    4      5      6      4      7    0.7722056245E+01       
    5      6      7      5      8    0.6939921080E+01       
    6      7      8      6      9    0.6333064968E+01       
    7      8      9      7     10    0.5874933263E+01       
    8      9     10      8     11    0.6333148110E+01       
    9     10     11      9     12    0.6940103075E+01       
   10     11     12     10     13    0.7722378228E+01       
   11     12     13     11     14    0.7868006800E+01       
   12     13     14     12     15    0.7902298138E+01       
   13     14     15     13     16    0.7913089831E+01       
   14     15     16     14     17    0.7917184344E+01       
   15     16     17     15     18    0.7918960197E+01       
   16     17     18     16     19    0.7919804662E+01       
   17     18     19     17     20    0.7920221902E+01       
   18     19     20     18     21    0.7920408164E+01       
   19     20     21     19     22    0.7920423163E+01       
   20     21     22     20     23    0.7920211457E+01       
   21     22     23     21     24    0.7919432395E+01       
   22     23     24     22     25    0.7916102300E+01       
   23      3      5      1      7    0.3786178024E+01       
   24      4      6      2      8    0.3400790571E+01       
   25      5      7      3      9    0.3293586183E+01       
   26      6      8      4     10    0.3310457897E+01       
   27      7      9      5     11    0.3131715879E+01       
   28      8     10      6     12    0.3131869781E+01       
   29      9     11      7     13    0.3310981698E+01       
   30     10     12      8     14    0.3294630622E+01       
   31     11     13      9     15    0.3402912166E+01       
   32     12     14     10     16    0.3791213460E+01       
   33     13     15     11     17    0.3909457035E+01       
   34     14     16     12     18    0.3946245715E+01       
   35     15     17     13     19    0.3960061970E+01       
   36     16     18     14     20    0.3966014436E+01       
   37     17     19     15     21    0.3968809706E+01       
   38     18     20     16     22    0.3970120335E+01       
   39     19     21     17     23    0.3970534195E+01       
   40     20     22     18     24    0.3970024856E+01       
   41     21     23     19     25    0.3967431687E+01       
   42      4      7      1     10    0.2371633555E+01       
   43      5      8      2     11    0.2337717097E+01       
   44      6      9      3     12    0.2191820124E+01       
   45      7     10      4     13    0.2310673889E+01       
   46      8     11      5     14    0.2192632342E+01       
   47      9     12      6     15    0.2339749503E+01       
   48     10     13      7     16    0.2375990366E+01       
   49     11     14      8     17    0.2314058752E+01       
   50     12     15      9     18    0.2305513008E+01       
   51     13     16     10     19    0.2508791809E+01       
   52     14     17     11     20    0.2591072797E+01       
   53     15     18     12     21    0.2621218652E+01       
   54     16     19     13     22    0.2633775611E+01       
   55     17     20     14     23    0.2639401926E+01       
   56     18     21     15     24    0.2641634937E+01       
   57     19     22     16     25    0.2641190821E+01       
   58      5      9      1     13    0.1696804059E+01       
   59      6     10      2     14    0.1793057537E+01       
   60      7     11      3     15    0.1793911424E+01       
   61      8     12      4     16    0.1699901717E+01       
   62      9     13      5     17    0.1816228853E+01       
   63     10     14      6     18    0.1852087832E+01       
   64     11     15      7     19    0.1838136935E+01       
   65     12     16      8     20    0.1793141203E+01       
   66     13     17      9     21    0.1760556718E+01       
   67     14     18     10     22    0.1877411984E+01       
   68     15     19     11     23    0.1934393302E+01       
   69     16     20     12     24    0.1957307749E+01       
   70     17     21     13     25    0.1966542316E+01       
   71      6     11      1     16    0.1481829052E+01       
   72      7     12      2     17    0.1455534960E+01       
   73      8     13      3     18    0.1391800142E+01       
   74      9     14      4     19    0.1483044077E+01       
   75     10     15      5     20    0.1511280571E+01       
   76     11     16      6     21    0.1506364957E+01       
   77     12     17      7     22    0.1495413382E+01       
   78     13     18      8     23    0.1463589642E+01       
   79     14     19      9     24    0.1428449368E+01       
   80     15     20     10     25    0.1499787651E+01       
   81      7     13      1     19    0.1222282020E+01       
   82      8     14      2     20    0.1179410628E+01       
   83      9     15      3     21    0.1251837238E+01       
   84     10     16      4     22    0.1273383478E+01       
   85     11     17      5     23    0.1270512556E+01       
   86     12     18      6     24    0.1265527997E+01       
   87     13     19      7     25    0.1257540365E+01       
   88      8     15      1     22    0.1023448122E+01       
   89      9     16      2     23    0.1081886732E+01       
   90     10     17      3     24    0.1098362254E+01       
   91     11     18      4     25    0.1095782533E+01       
   92      9     17      1     25    0.9512588664E+00       
