     103   
    1         2    4    1    3  
    2         4    6    1    3  
    3         5    7    1    3  
    4         6    8    1    3  
    5         7    9    1    3  
    6         8   10    1    3  
    7         9   11    1    3  
    8        10   12    1    3  
    9        11   13    1    3  
   10        12   14    1    3  
   11        13   15    1    3  
   12        14   16    1    3  
   13        16    2    1    3  
   14         3    5    2    4  
   15         5    7    2    4  
   16         6    8    2    4  
   17         7    9    2    4  
   18         8   10    2    4  
   19         9   11    2    4  
   20        10   12    2    4  
   21        11   13    2    4  
   22        12   14    2    4  
   23        13   15    2    4  
   24        14   16    2    4  
   25        15    1    2    4  
   26         4    6    3    5  
   27         6    8    3    5  
   28         7    9    3    5  
   29         8   10    3    5  
   30         9   11    3    5  
   31        10   12    3    5  
   32        11   13    3    5  
   33        12   14    3    5  
   34        13   15    3    5  
   35        14   16    3    5  
   36        15    1    3    5  
   37        16    2    3    5  
   38         5    7    4    6  
   39         7    9    4    6  
   40         8   10    4    6  
   41         9   11    4    6  
   42        10   12    4    6  
   43        11   13    4    6  
   44        12   14    4    6  
   45        13   15    4    6  
   46        14   16    4    6  
   47        15    1    4    6  
   48        16    2    4    6  
   49         6    8    5    7  
   50         8   10    5    7  
   51         9   11    5    7  
   52        10   12    5    7  
   53        11   13    5    7  
   54        12   14    5    7  
   55        13   15    5    7  
   56        14   16    5    7  
   57        15    1    5    7  
   58        16    2    5    7  
   59         7    9    6    8  
   60         9   11    6    8  
   61        10   12    6    8  
   62        11   13    6    8  
   63        12   14    6    8  
   64        13   15    6    8  
   65        14   16    6    8  
   66        15    1    6    8  
   67        16    2    6    8  
   68         8   10    7    9  
   69        10   12    7    9  
   70        11   13    7    9  
   71        12   14    7    9  
   72        13   15    7    9  
   73        14   16    7    9  
   74        15    1    7    9  
   75        16    2    7    9  
   76         9   11    8   10  
   77        11   13    8   10  
   78        12   14    8   10  
   79        13   15    8   10  
   80        14   16    8   10  
   81        15    1    8   10  
   82        16    2    8   10  
   83        10   12    9   11  
   84        12   14    9   11  
   85        13   15    9   11  
   86        14   16    9   11  
   87        15    1    9   11  
   88        16    2    9   11  
   89        11   13   10   12  
   90        13   15   10   12  
   91        14   16   10   12  
   92        15    1   10   12  
   93        16    2   10   12  
   94        12   14   11   13  
   95        14   16   11   13  
   96        15    1   11   13  
   97        16    2   11   13  
   98        13   15   12   14  
   99        15    1   12   14  
  100        16    2   12   14  
  101        14   16   13   15  
  102        16    2   13   15  
  103        15    1   14   16  
